timestamp,air_humidity
1659672000,65.05
1659675600,60.6
1659679200,54.85
1659682800,48.05
1659686400,45.5
1659690000,43.3
1659693600,39.7
1659697200,37.6
1659700800,35.6
1659704400,34.65
1659708000,36.5
1659711600,41
1659715200,42.95
1659718800,43.65
1659722400,48.65
1659726000,62.1
1659729600,70.9
1659733200,70.55
1659736800,72.8
1659740400,70.05
1659744000,70.35
1659747600,69.05
1659751200,69
1659754800,70.7
1659758400,71.35
1659762000,64.95
1659765600,57.3
1659769200,50.35
1659772800,46.65
1659776400,43.85
1659780000,39.8
1659783600,39.05
1659787200,39.45
1659790800,38.8
1659794400,38.65
1659798000,40.95
1659801600,43.9
1659805200,46.55
1659808800,51.7
1659812400,66.5
1659816000,72.5
1659819600,79.65
1659823200,82.25
1659826800,81.45
1659830400,78.4
1659834000,75.5
1659837600,69.7
1659841200,68.55
1659844800,68.9
1659848400,68.2
1659852000,64.25
1659855600,61.75
1659859200,63.3
1659862800,61.25
1659866400,57.15
1659870000,55.3
1659873600,54.05
1659877200,52.7
1659880800,54
1659884400,56.25
1659888000,57.1
1659891600,59.05
1659895200,60.45
1659898800,74
1659902400,77.4
1659906000,75.55
1659909600,77.05
1659913200,78
1659916800,78.8
1659920400,79.4
1659924000,80.15
1659927600,81
1659931200,81.35
1659934800,78.35
1659938400,69.5
1659942000,61.65
1659945600,57.1
1659949200,55.45
1659952800,53.55
1659956400,56.8
1659960000,64.9
1659963600,60.2
1659967200,54.75
1659970800,52.8
1659974400,54.25
1659978000,54.2
1659981600,56.6
1659985200,67.7
1659988800,74.1
1659992400,72.3
1659996000,76.05
1659999600,78.6
1660003200,84.6
1660006800,90.85
1660010400,92.75
1660014000,93.55
1660017600,94.05
1660021200,94.5
1660024800,92.5
1660028400,81.7
1660032000,73.85
1660035600,67.45
1660039200,64.3
1660042800,60.65
1660046400,56.2
1660050000,53.35
1660053600,50.2
1660057200,55.65
1660060800,57.1
1660064400,56.2
1660068000,64
1660071600,77.65
1660075200,84.1
1660078800,83.35
1660082400,84.7
1660086000,86.6
1660089600,86.7
1660093200,86.4
1660096800,87.1
1660100400,88
1660104000,88.55
1660107600,83.65
1660111200,75.45
1660114800,64.65
1660118400,61.05
1660122000,61.15
1660125600,52.25
1660129200,50.65
1660132800,48.85
1660136400,46.95
1660140000,47
1660143600,46.7
1660147200,45.15
1660150800,48.45
1660154400,58.35
1660158000,74.45
1660161600,76
1660165200,81.55
1660168800,84.8
1660172400,83.95
1660176000,83.55
1660179600,84.4
1660183200,85.65
1660186800,86.9
1660190400,86.8
1660194000,80.5
1660197600,72.1
1660201200,64.15
1660204800,58.8
1660208400,52.9
1660212000,47.7
1660215600,44.05
1660219200,41.25
1660222800,41.45
1660226400,39.4
1660230000,38.2
1660233600,37
1660237200,36.9
1660240800,53.05
1660244400,68.05
1660248000,71.4
1660251600,68.3
1660255200,65.35
1660258800,65.5
1660262400,66.85
1660266000,66.85
1660269600,66.75
1660273200,67.25
1660276800,68.4
1660280400,70.95
1660284000,67.95
1660287600,62
1660291200,55.8
1660294800,58.45
1660298400,58.65
1660302000,53.4
1660305600,52.15
1660309200,46
1660312800,43.65
1660316400,42.7
1660320000,44.75
1660323600,45.7
1660327200,51.5
1660330800,55.1
1660334400,62.95
1660338000,73.35
1660341600,84.05
1660345200,88.25
1660348800,89.4
1660352400,89.05
1660356000,88.85
1660359600,88.05
1660363200,89.3
1660366800,89.9
1660370400,85.15
1660374000,76.75
1660377600,63.9
1660381200,56.75
1660384800,51.55
1660388400,48.2
1660392000,46.85
1660395600,44.9
1660399200,43.45
1660402800,44.55
1660406400,44.45
1660410000,46.05
1660413600,54.5
1660417200,71.75
1660420800,74.95
1660424400,70.55
1660428000,70.35
1660431600,72.15
1660435200,73.2
1660438800,73.15
1660442400,73.95
1660446000,73.35
1660449600,72.15
1660453200,67.5
1660456800,60.6
1660460400,53
1660464000,44.9
1660467600,40.8
1660471200,38.5
1660474800,36.95
1660478400,35.95
1660482000,35.65
1660485600,37.05
1660489200,40.5
1660492800,41.3
1660496400,43.25
1660500000,50.55
1660503600,67.6
1660507200,66.95
1660510800,67.95
1660514400,71.25
1660518000,73.55
1660521600,63.6
1660525200,66.55
1660528800,64.2
1660532400,67.85
1660536000,66.4
1660539600,69.95
1660543200,59.45
1660546800,45.75
1660550400,44.5
1660554000,44.3
1660557600,45.1
1660561200,44.8
1660564800,41.8
1660568400,40.05
1660572000,39.75
1660575600,44.95
1660579200,48.55
1660582800,48.75
1660586400,57.25
1660590000,60.55
